Track,ID,DateTime,Side,Entry,SL,TP1,TP2,RiskPips,ExitReason,ExitPrice,ExitTime,NormalizedNetR,PnlUsd,Confluence
SUPREME,1,"2026-07-07T17:35:00.000Z",SELL,4157.40,4161.20,4151.70,4144.10,38,TP2_FULL_TARGET,4144.10,"2026-07-07T18:45:00.000Z",2.49,24.93,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,2,"2026-07-09T11:20:00.000Z",SELL,4114.00,4117.50,4108.75,4101.75,35,TP1_PARTIAL_BE,4108.75,"2026-07-09T11:25:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,1,"2026-07-10T00:45:00.000Z",BUY,4132.30,4128.80,4133.40,4133.40,35,TP_EQUILIBRIUM,4133.40,"2026-07-10T00:50:00.000Z",0.59,5.93,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,2,"2026-07-10T08:00:00.000Z",BUY,4117.90,4115.80,4123.75,4123.75,21,SL_HIT,4115.80,"2026-07-10T08:05:00.000Z",-0.51,-5.07,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,3,"2026-07-10T18:50:00.000Z",BUY,4109.30,4106.10,4114.10,4120.50,32,TP2_FULL_TARGET,4120.50,"2026-07-10T20:00:00.000Z",2.49,24.93,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,4,"2026-07-10T20:10:00.000Z",SELL,4120.00,4122.40,4116.40,4111.60,24,SL_HIT,4122.40,"2026-07-10T20:50:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,5,"2026-07-13T11:00:00.000Z",BUY,4068.70,4065.70,4073.20,4079.20,30,TP1_PARTIAL_BE,4073.20,"2026-07-13T11:05:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,3,"2026-07-14T05:20:00.000Z",SELL,4027.60,4031.10,4022.90,4022.90,35,SL_HIT,4031.10,"2026-07-14T05:30:00.000Z",-0.51,-5.07,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,6,"2026-07-14T12:20:00.000Z",BUY,4034.00,4030.20,4039.70,4047.30,38,TP2_FULL_TARGET,4047.30,"2026-07-14T12:30:00.000Z",2.49,24.93,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,4,"2026-07-14T23:25:00.000Z",BUY,4055.90,4052.80,4059.05,4059.05,31,TP_EQUILIBRIUM,4059.05,"2026-07-14T23:30:00.000Z",0.59,5.93,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,5,"2026-07-15T00:40:00.000Z",SELL,4060.70,4063.80,4057.65,4057.65,31,SL_HIT,4063.80,"2026-07-15T00:50:00.000Z",-0.51,-5.07,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,6,"2026-07-16T00:15:00.000Z",BUY,4062.00,4059.20,4066.15,4066.15,28,TP_EQUILIBRIUM,4066.15,"2026-07-16T00:30:00.000Z",0.59,5.93,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,7,"2026-07-17T09:30:00.000Z",SELL,4003.30,4007.50,3997.00,3988.60,42,TP2_FULL_TARGET,3988.60,"2026-07-17T12:20:00.000Z",2.49,24.93,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
